2026-02-25 01:13:10,030 INFO    MainThread:1769053 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_setup.py:_flush():81] Configure stats pid to 1769053
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_011310-MAMBA_MAMBA_psMNIST_2_1771949589.4674206/logs/debug.log
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_011310-MAMBA_MAMBA_psMNIST_2_1771949589.4674206/logs/debug-internal.log
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_init.py:init():844] calling init triggers
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 2, 'num_epochs': 50, 'batch_size': 128, 'num_workers': 4, 'lr': 0.001, 'use_lr_scheduler': True, 'use_wandb': True, 'group_name': 'MAMBA', 'model_args': {'num_layers': 1, 'hidden_size': 32}, 'dataset': {'_target_': 'datasets.sMNIST.SequentialMNIST', 'permute': True, 'input_size': 1}, 'model': {'_target_': 'models.MAMBA.MAMBA', 'd_state': 4, 'd_conv': 2, 'expand': 1}, '_wandb': {}}
2026-02-25 01:13:10,031 INFO    MainThread:1769053 [wandb_init.py:init():892] starting backend
2026-02-25 01:13:10,285 INFO    MainThread:1769053 [wandb_init.py:init():895] sending inform_init request
2026-02-25 01:13:10,289 INFO    MainThread:1769053 [wandb_init.py:init():903] backend started and connected
2026-02-25 01:13:10,290 INFO    MainThread:1769053 [wandb_init.py:init():973] updated telemetry
2026-02-25 01:13:10,291 INFO    MainThread:1769053 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-25 01:13:11,066 INFO    MainThread:1769053 [wandb_init.py:init():1042] starting run threads in backend
2026-02-25 01:13:11,122 INFO    MainThread:1769053 [wandb_run.py:_console_start():2524] atexit reg
2026-02-25 01:13:11,122 INFO    MainThread:1769053 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-25 01:13:11,122 INFO    MainThread:1769053 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-25 01:13:11,122 INFO    MainThread:1769053 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-25 01:13:11,124 INFO    MainThread:1769053 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-25 01:13:12,680 INFO    wandb-AsyncioManager-main:1769053 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-25 01:13:12,680 INFO    wandb-AsyncioManager-main:1769053 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
