2026-02-25 03:56:49,927 INFO    MainThread:359221 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_setup.py:_flush():81] Configure stats pid to 359221
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_035649-GRU_GRU_Qswap_4_1771959409.402552/logs/debug.log
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_035649-GRU_GRU_Qswap_4_1771959409.402552/logs/debug-internal.log
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_init.py:init():844] calling init triggers
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 4, 'num_epochs': 50, 'batch_size': 8, 'num_workers': 0, 'lr': 0.001, 'use_lr_scheduler': True, 'use_wandb': True, 'group_name': 'GRU', 'model_args': {'num_layers': 1, 'hidden_size': 128}, 'dataset': {'_target_': 'datasets.Qswap.Qswap', 'one_hot_dim': 10, 'min_seq_len': 5, 'max_seq_len': 10}, 'model': {'_target_': 'models.GRU.GRU'}, '_wandb': {}}
2026-02-25 03:56:49,928 INFO    MainThread:359221 [wandb_init.py:init():892] starting backend
2026-02-25 03:56:50,181 INFO    MainThread:359221 [wandb_init.py:init():895] sending inform_init request
2026-02-25 03:56:50,184 INFO    MainThread:359221 [wandb_init.py:init():903] backend started and connected
2026-02-25 03:56:50,185 INFO    MainThread:359221 [wandb_init.py:init():973] updated telemetry
2026-02-25 03:56:50,186 INFO    MainThread:359221 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-25 03:56:51,073 INFO    MainThread:359221 [wandb_init.py:init():1042] starting run threads in backend
2026-02-25 03:56:51,129 INFO    MainThread:359221 [wandb_run.py:_console_start():2524] atexit reg
2026-02-25 03:56:51,129 INFO    MainThread:359221 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-25 03:56:51,129 INFO    MainThread:359221 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-25 03:56:51,129 INFO    MainThread:359221 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-25 03:56:51,132 INFO    MainThread:359221 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-25 03:58:49,552 INFO    wandb-AsyncioManager-main:359221 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-25 03:58:49,552 INFO    wandb-AsyncioManager-main:359221 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
