Epochs [Qswap]:  15%|██████████████████████████████████▋                                                                                                                                                                                                    | 15/100 [00:14<01:22,  1.04it/s]
Epoch [1/100] - Loss: 23.0281, Accuracy: 0.1003
Eval - Loss: 2.3027, Accuracy: 0.1000
Epoch [2/100] - Loss: 23.0266, Accuracy: 0.1000
Eval - Loss: 2.3026, Accuracy: 0.1015
Epoch [3/100] - Loss: 23.0266, Accuracy: 0.1000
Eval - Loss: 2.3027, Accuracy: 0.0975
Epoch [4/100] - Loss: 23.0259, Accuracy: 0.0999
Eval - Loss: 2.3027, Accuracy: 0.0997
Epoch [5/100] - Loss: 23.0263, Accuracy: 0.0996
Eval - Loss: 2.3026, Accuracy: 0.1015
Epoch [6/100] - Loss: 23.0264, Accuracy: 0.0999
Eval - Loss: 2.3026, Accuracy: 0.0997
Epoch [7/100] - Loss: 23.0261, Accuracy: 0.1008
Eval - Loss: 2.3027, Accuracy: 0.0986
Epoch [8/100] - Loss: 23.0262, Accuracy: 0.0998
Eval - Loss: 2.3027, Accuracy: 0.1008
Epoch [9/100] - Loss: 23.0265, Accuracy: 0.1003
Eval - Loss: 2.3026, Accuracy: 0.0982
Epoch [10/100] - Loss: 23.0263, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.0992
Epoch [11/100] - Loss: 23.0261, Accuracy: 0.0995
Eval - Loss: 2.3027, Accuracy: 0.1010
Epoch [12/100] - Loss: 23.0263, Accuracy: 0.0994
Eval - Loss: 2.3026, Accuracy: 0.0984
Epoch [13/100] - Loss: 23.0262, Accuracy: 0.0995
Eval - Loss: 2.3028, Accuracy: 0.0981
Epoch [14/100] - Loss: 23.0263, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.0990
Epoch [15/100] - Loss: 23.0262, Accuracy: 0.1004
Eval - Loss: 2.3027, Accuracy: 0.0989
Epoch [16/100] - Loss: 23.0259, Accuracy: 0.0995
Eval - Loss: 2.3027, Accuracy: 0.0954
Epoch [17/100] - Loss: 23.0262, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.0973
Epoch [18/100] - Loss: 23.0261, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.1000
Epoch [19/100] - Loss: 23.0260, Accuracy: 0.1009
Eval - Loss: 2.3027, Accuracy: 0.0952
Epoch [20/100] - Loss: 23.0263, Accuracy: 0.0988
Eval - Loss: 2.3025, Accuracy: 0.1028
Epoch [21/100] - Loss: 23.0265, Accuracy: 0.1002
Eval - Loss: 2.3026, Accuracy: 0.0973
Epoch [22/100] - Loss: 23.0262, Accuracy: 0.1003
Eval - Loss: 2.3027, Accuracy: 0.1015
Epoch [23/100] - Loss: 23.0261, Accuracy: 0.1004
Eval - Loss: 2.3026, Accuracy: 0.1034
Epoch [24/100] - Loss: 23.0262, Accuracy: 0.1011
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [25/100] - Loss: 23.0263, Accuracy: 0.1001
Eval - Loss: 2.3026, Accuracy: 0.1004
Epoch [26/100] - Loss: 23.0260, Accuracy: 0.1010
